alias,office_code,office_name,confidence,support,total,all_votes,example_registration_id
利明小区南侧“老面小笼包”,QTX_YUMIN,裕民市场监管所,1.0,2,2,"{""裕民市场监管所"": 2}",51640300002025051300000005
利民东街149号,QTX_XIAOBA,小坝市场监管所,1.0,2,2,"{""小坝市场监管所"": 2}",1640381002025052995540597
利民东街42号,QTX_XIAOBA,小坝市场监管所,1.0,2,2,"{""小坝市场监管所"": 2}",51640300002024072600000017
利民东街72号,QTX_XIAOBA,小坝市场监管所,1.0,2,2,"{""小坝市场监管所"": 2}",51640300002024102800000124
利民街,QTX_XIAOBA,小坝市场监管所,1.0,2,2,"{""小坝市场监管所"": 2}",51640300002025050100000043
利民西街23#25#商贸,QTX_XIAOBA,小坝市场监管所,1.0,2,2,"{""小坝市场监管所"": 2}",51640300002024092900000005
利通区关马湖服务区,QTX_HEDONG,河东市场监管所,1.0,2,2,"{""河东市场监管所"": 2}",51640300002024100800000108
北环路,QTX_XIAOBA,小坝市场监管所,1.0,2,2,"{""小坝市场监管所"": 2}",51640300002025092200000004
古峡东街118号忆江南西侧,QTX_XIAOBA,小坝市场监管所,1.0,4,4,"{""小坝市场监管所"": 4}",51640300002025061600000017
古峡商业中心1#商业楼,QTX_XIAOBA,小坝市场监管所,1.0,2,2,"{""小坝市场监管所"": 2}",51640300002024080800000040
古峡商业中心77#,QTX_XIAOBA,小坝市场监管所,1.0,2,2,"{""小坝市场监管所"": 2}",1640381002025101981548655
古峡西街171号,QTX_XIAOBA,小坝市场监管所,1.0,2,2,"{""小坝市场监管所"": 2}",51640300002025123100000035
古峡西街“爱玛”,QTX_YUMIN,裕民市场监管所,1.0,2,2,"{""裕民市场监管所"": 2}",51640300002025052800000020
叶盛的米,QTX_YESHENG,叶盛市场监管所,1.0,2,2,"{""叶盛市场监管所"": 2}",51640300002025083000000039
叶盛镇,QTX_YESHENG,叶盛市场监管所,1.0,7,7,"{""叶盛市场监管所"": 7}",51640300002024121200000026
叶盛镇三叉路口东侧,QTX_YESHENG,叶盛市场监管所,1.0,2,2,"{""叶盛市场监管所"": 2}",51640300002024090400000019
叶盛镇东街,QTX_YESHENG,叶盛市场监管所,1.0,2,2,"{""叶盛市场监管所"": 2}",1640381002025102414142488
叶盛镇中心街,QTX_YESHENG,叶盛市场监管所,1.0,2,2,"{""叶盛市场监管所"": 2}",51640300002024081600000014
叶盛镇农贸市场东侧,QTX_YESHENG,叶盛市场监管所,1.0,2,2,"{""叶盛市场监管所"": 2}",1640381002024102181330068
叶盛镇龙门村四队,QTX_YESHENG,叶盛市场监管所,1.0,3,3,"{""叶盛市场监管所"": 3}",51640300002024090900000007
同兴村市场,QTX_HEXI,河西市场监管所,1.0,2,2,"{""河西市场监管所"": 2}",51640300002024081900000006
同进村,QTX_HEXI,河西市场监管所,1.0,6,6,"{""河西市场监管所"": 6}",1640381002024112991534103
周大生商户,QTX_YUMIN,裕民市场监管所,1.0,2,2,"{""裕民市场监管所"": 2}",51640300002024101400000003
周大生黄金,QTX_YUMIN,裕民市场监管所,1.0,2,2,"{""裕民市场监管所"": 2}",51640300002025102000000023
和府小区东门,QTX_XIAOBA,小坝市场监管所,1.0,2,2,"{""小坝市场监管所"": 2}",51640300002025071800000032
品炫通讯,QTX_YUMIN,裕民市场监管所,1.0,2,2,"{""裕民市场监管所"": 2}",51640300002025102600000014
商城,QTX_YUMIN,裕民市场监管所,1.0,3,3,"{""裕民市场监管所"": 3}",51640300002025100100000035
商城北门停车场,QTX_YUMIN,裕民市场监管所,1.0,2,2,"{""裕民市场监管所"": 2}",51640300002025110100000023
商城西门清真寺对面,QTX_YUMIN,裕民市场监管所,1.0,2,2,"{""裕民市场监管所"": 2}",51640300002024120200000091
嘉合装饰好莱客商户,QTX_XIAOBA,小坝市场监管所,1.0,2,2,"{""小坝市场监管所"": 2}",51640300002025012600000062
塞上江南广场地下负一层超市部分0号,QTX_XIAOBA,小坝市场监管所,1.0,2,2,"{""小坝市场监管所"": 2}",1640381002024091962491950
塞尚江南对面小广场,QTX_XIAOBA,小坝市场监管所,1.0,2,2,"{""小坝市场监管所"": 2}",51640300002024071800000001
大坝电厂,QTX_DABA,大坝市场监管所,1.0,4,4,"{""大坝市场监管所"": 4}",51640300002024120200000022
大梁水果店,QTX_YUMIN,裕民市场监管所,1.0,2,2,"{""裕民市场监管所"": 2}",51640300002025110800000032
天一街,QTX_XIAOBA,小坝市场监管所,1.0,4,4,"{""小坝市场监管所"": 4}",51640300002024112000000051
天一街39号,QTX_XIAOBA,小坝市场监管所,1.0,2,2,"{""小坝市场监管所"": 2}",1640381002024112872864723
天一街42号雅丝美发店,QTX_XIAOBA,小坝市场监管所,1.0,2,2,"{""小坝市场监管所"": 2}",51640300002024092300000111
天一街6号,QTX_XIAOBA,小坝市场监管所,1.0,2,2,"{""小坝市场监管所"": 2}",51640300002024090500000004
天马毛线店,QTX_YUMIN,裕民市场监管所,1.0,2,2,"{""裕民市场监管所"": 2}",51640300002024102800000006
宁夏京源方粮油有限公司,QTX_YESHENG,叶盛市场监管所,1.0,2,2,"{""叶盛市场监管所"": 2}",51640300002024090400000019
宁夏创优鲜果有限公司,QTX_QUJING,瞿靖市场监管所,1.0,2,2,"{""瞿靖市场监管所"": 2}",51640300002024082600000055
宁夏时花商贸有限公司,QTX_YUMIN,裕民市场监管所,1.0,4,4,"{""裕民市场监管所"": 4}",1640381002024123164565757
宁夏昊顺德食品有限公司青铜峡分公司,QTX_QUJING,瞿靖市场监管所,1.0,2,2,"{""瞿靖市场监管所"": 2}",51640300002025121700000042
宁夏梓金木材有限公司,QTX_HEXI,河西市场监管所,1.0,2,2,"{""河西市场监管所"": 2}",1640381002025073181038644
宁夏贺兰雪山泉水业有限公司,QTX_XIAOBA,小坝市场监管所,1.0,3,3,"{""小坝市场监管所"": 3}",1640381002025060628227832
宁夏贺兰雪山泉水业有限公司商户,QTX_XIAOBA,小坝市场监管所,1.0,2,2,"{""小坝市场监管所"": 2}",51640300002025061600000017
宁夏锦天顺食品有限公司,QTX_DABA,大坝市场监管所,1.0,2,2,"{""大坝市场监管所"": 2}",1640381002024120244359891
宁夏青铜峡市叶升镇路口,QTX_YESHENG,叶盛市场监管所,1.0,2,2,"{""叶盛市场监管所"": 2}",1640381002025030532740496
宁夏青铜峡市叶盛米业有限公司,QTX_YESHENG,叶盛市场监管所,1.0,2,2,"{""叶盛市场监管所"": 2}",1640381002025030532740496
宁夏鸿福工贸有限公司,QTX_HEXI,河西市场监管所,1.0,2,2,"{""河西市场监管所"": 2}",51640300002025030400000034
宝贝百分百,QTX_XIAOBA,小坝市场监管所,1.0,5,5,"{""小坝市场监管所"": 5}",51640300002025122900000056
家私城二楼,QTX_YUMIN,裕民市场监管所,1.0,2,2,"{""裕民市场监管所"": 2}",51640300002024112200000003
小刀电动车,QTX_YUMIN,裕民市场监管所,1.0,3,3,"{""裕民市场监管所"": 3}",51640300002024112900000005
小刀电动车商户,QTX_YUMIN,裕民市场监管所,1.0,2,2,"{""裕民市场监管所"": 2}",51640300002024120900000020
小坝CCMALL,QTX_XIAOBA,小坝市场监管所,1.0,3,3,"{""小坝市场监管所"": 3}",51640300002024112500000001
小坝CCMall二楼,QTX_XIAOBA,小坝市场监管所,1.0,2,2,"{""小坝市场监管所"": 2}",51640300002025090400000010
小坝CCMall二楼仁梓涵美甲店,QTX_XIAOBA,小坝市场监管所,1.0,2,2,"{""小坝市场监管所"": 2}",51640300002025090400000010
小坝CC贸,QTX_XIAOBA,小坝市场监管所,1.0,3,3,"{""小坝市场监管所"": 3}",51640300002025070400000013
小坝利民西街龙海花园56号,QTX_XIAOBA,小坝市场监管所,1.0,3,3,"{""小坝市场监管所"": 3}",51640300002024080600000044
小坝古峡东街,QTX_YUMIN,裕民市场监管所,1.0,7,7,"{""裕民市场监管所"": 7}",51640300002024090200000014
小坝古峡西街,QTX_YUMIN,裕民市场监管所,1.0,4,4,"{""裕民市场监管所"": 4}",51640300002024111900000041
小坝商城238号“海绵毡批发”,QTX_YUMIN,裕民市场监管所,1.0,2,2,"{""裕民市场监管所"": 2}",51640300002025052900000025
小坝商城2楼,QTX_YUMIN,裕民市场监管所,1.0,2,2,"{""裕民市场监管所"": 2}",51640300002024110400000017
小坝商城东厅,QTX_YUMIN,裕民市场监管所,1.0,2,2,"{""裕民市场监管所"": 2}",51640300002024090700000026
小坝商城西侧,QTX_YUMIN,裕民市场监管所,1.0,2,2,"{""裕民市场监管所"": 2}",51640300002024111100000106
小坝夜市,QTX_YUMIN,裕民市场监管所,1.0,3,3,"{""裕民市场监管所"": 3}",51640300002024100800000004
小坝天一街,QTX_XIAOBA,小坝市场监管所,1.0,3,3,"{""小坝市场监管所"": 3}",51640300002024102100000024
小坝天一街139#-2,QTX_XIAOBA,小坝市场监管所,1.0,2,2,"{""小坝市场监管所"": 2}",1640381002024112987908008
小坝天一街21、23号,QTX_XIAOBA,小坝市场监管所,1.0,2,2,"{""小坝市场监管所"": 2}",51640300002024081300000010
小坝建民南街,QTX_YUMIN,裕民市场监管所,1.0,7,7,"{""裕民市场监管所"": 7}",1640381002024120343966728
小坝文化南街,QTX_YUMIN,裕民市场监管所,1.0,2,2,"{""裕民市场监管所"": 2}",51640300002024092300000044
小坝步行街,QTX_YUMIN,裕民市场监管所,1.0,27,27,"{""裕民市场监管所"": 27}",51640300002024121700000039
小坝步行街正科商业广场,QTX_YUMIN,裕民市场监管所,1.0,2,2,"{""裕民市场监管所"": 2}",51640300002025020800000021
小坝步行街路口,QTX_YUMIN,裕民市场监管所,1.0,2,2,"{""裕民市场监管所"": 2}",51640300002024101400000003
小坝永丰南路72号,QTX_YUMIN,裕民市场监管所,1.0,2,2,"{""裕民市场监管所"": 2}",51640300002025070400000018
小坝汉坝东街210-1号,QTX_XIAOBA,小坝市场监管所,1.0,3,3,"{""小坝市场监管所"": 3}",1640381002024121146776011
小坝汉坝东街252号,QTX_XIAOBA,小坝市场监管所,1.0,2,2,"{""小坝市场监管所"": 2}",1640381002024072876927447
小坝镇CCMALL,QTX_XIAOBA,小坝市场监管所,1.0,2,2,"{""小坝市场监管所"": 2}",51640300002024112500000020
小坝镇CCmall,QTX_XIAOBA,小坝市场监管所,1.0,3,3,"{""小坝市场监管所"": 3}",51640300002024120200000056
小坝镇CC贸,QTX_XIAOBA,小坝市场监管所,1.0,2,2,"{""小坝市场监管所"": 2}",51640300002025083000000050
小坝镇中医院北侧“五星电动车”,QTX_YUMIN,裕民市场监管所,1.0,2,2,"{""裕民市场监管所"": 2}",51640300002025060400000027
小坝镇佳旺家私城,QTX_YUMIN,裕民市场监管所,1.0,3,3,"{""裕民市场监管所"": 3}",51640300002024112000000003
小坝镇兰馨路046号,QTX_XIAOBA,小坝市场监管所,1.0,2,2,"{""小坝市场监管所"": 2}",51640300002024102800000014
小坝镇兰馨路12号,QTX_XIAOBA,小坝市场监管所,1.0,3,3,"{""小坝市场监管所"": 3}",1640381002024101003710460
小坝镇利民西街35号,QTX_XIAOBA,小坝市场监管所,1.0,2,2,"{""小坝市场监管所"": 2}",51640300002024091800000016
小坝镇利民西街76号,QTX_XIAOBA,小坝市场监管所,1.0,3,3,"{""小坝市场监管所"": 3}",51640300002024081200000066
小坝镇古峡西街,QTX_YUMIN,裕民市场监管所,1.0,2,2,"{""裕民市场监管所"": 2}",51640300002025080700000123
小坝镇商城,QTX_YUMIN,裕民市场监管所,1.0,2,2,"{""裕民市场监管所"": 2}",51640300002025030600000001
小坝镇商城东南角,QTX_YUMIN,裕民市场监管所,1.0,2,2,"{""裕民市场监管所"": 2}",51640300002024112500000013
小坝镇夜市,QTX_YUMIN,裕民市场监管所,1.0,2,2,"{""裕民市场监管所"": 2}",51640300002025070400000007
小坝镇天一街,QTX_XIAOBA,小坝市场监管所,1.0,5,5,"{""小坝市场监管所"": 5}",51640300002025112500000044
小坝镇女人街,QTX_YUMIN,裕民市场监管所,1.0,2,2,"{""裕民市场监管所"": 2}",51640300002024111100000011
小坝镇家旺家私城,QTX_YUMIN,裕民市场监管所,1.0,3,3,"{""裕民市场监管所"": 3}",51640300002024123000000082
小坝镇小坝商城,QTX_YUMIN,裕民市场监管所,1.0,2,2,"{""裕民市场监管所"": 2}",51640300002025102500000013
小坝镇工业园区嘉宝片区亲民路8号,QTX_XIAOBA,小坝市场监管所,1.0,2,2,"{""小坝市场监管所"": 2}",51640300002024120200000082
小坝镇康乐街,QTX_XIAOBA,小坝市场监管所,1.0,4,4,"{""小坝市场监管所"": 4}",51640300002024112000000001
小坝镇康乐街115号,QTX_XIAOBA,小坝市场监管所,1.0,2,2,"{""小坝市场监管所"": 2}",51640300002025030300000015
小坝镇张岗村一队小康楼21号,QTX_YUMIN,裕民市场监管所,1.0,4,4,"{""裕民市场监管所"": 4}",1640381002024123164565757
小坝镇早市,QTX_YUMIN,裕民市场监管所,1.0,3,3,"{""裕民市场监管所"": 3}",51640300002025121000000006
小坝镇朔方路,QTX_YUMIN,裕民市场监管所,1.0,2,2,"{""裕民市场监管所"": 2}",51640300002025111900000005
小坝镇正科商业广场,QTX_YUMIN,裕民市场监管所,1.0,2,2,"{""裕民市场监管所"": 2}",51640300002025091300000030
小坝镇步行街,QTX_YUMIN,裕民市场监管所,1.0,24,24,"{""裕民市场监管所"": 24}",51640300002024112200000015
小坝镇步行街1号,QTX_YUMIN,裕民市场监管所,1.0,2,2,"{""裕民市场监管所"": 2}",51640300002025080700000115
小坝镇步行街路口,QTX_YUMIN,裕民市场监管所,1.0,2,2,"{""裕民市场监管所"": 2}",51640300002025102000000023
小坝镇永丰北街,QTX_YUMIN,裕民市场监管所,1.0,4,4,"{""裕民市场监管所"": 4}",51640300002024123000000023
小坝镇汉坝东街220号,QTX_XIAOBA,小坝市场监管所,1.0,2,2,"{""小坝市场监管所"": 2}",51640300002024082200000054
小坝镇汉坝西街,QTX_YUMIN,裕民市场监管所,1.0,3,3,"{""裕民市场监管所"": 3}",51640300002025040700000014
小坝镇汉坝西街与建民北路交叉口,QTX_YUMIN,裕民市场监管所,1.0,2,2,"{""裕民市场监管所"": 2}",51640300002025011700000051
小坝镇滨河大道,QTX_XIAOBA,小坝市场监管所,1.0,2,2,"{""小坝市场监管所"": 2}",51640300002026010400000046
小坝镇禹皇家具装饰材料市场,QTX_XIAOBA,小坝市场监管所,1.0,2,2,"{""小坝市场监管所"": 2}",51640300002025072800000055
小坝镇老广场,QTX_YUMIN,裕民市场监管所,1.0,2,2,"{""裕民市场监管所"": 2}",51640300002024122300000112
小坝镇老车站,QTX_YUMIN,裕民市场监管所,1.0,2,2,"{""裕民市场监管所"": 2}",51640300002025082400000023
小坝镇蒋南村,QTX_DABA,大坝市场监管所,1.0,2,2,"{""大坝市场监管所"": 2}",51640300002025082500000010
小坝镇裕民街,QTX_YUMIN,裕民市场监管所,1.0,3,3,"{""裕民市场监管所"": 3}",51640300002025112600000019
小坝镇金三角,QTX_YUMIN,裕民市场监管所,1.0,2,2,"{""裕民市场监管所"": 2}",51640300002025061400000003
小坝镇金岸一品,QTX_XIAOBA,小坝市场监管所,1.0,2,2,"{""小坝市场监管所"": 2}",51640300002024081900000055
小坝镇金岸一品农贸市场,QTX_XIAOBA,小坝市场监管所,1.0,2,2,"{""小坝市场监管所"": 2}",51640300002025042900000020
小坝镇龙海商业街,QTX_XIAOBA,小坝市场监管所,1.0,9,9,"{""小坝市场监管所"": 9}",51640300002024120900000022
小牛电动车,QTX_YUMIN,裕民市场监管所,1.0,4,4,"{""裕民市场监管所"": 4}",51640300002024082600000057
小郑汉餐商户,QTX_XIAOBA,小坝市场监管所,1.0,2,2,"{""小坝市场监管所"": 2}",51640300002025071700000003
尚客优连锁酒店,QTX_XIAOBA,小坝市场监管所,1.0,2,2,"{""小坝市场监管所"": 2}",51640300002024112500000003
峡口镇,QTX_HEDONG,河东市场监管所,1.0,3,3,"{""河东市场监管所"": 3}",51640300002024110400000087
峡口镇任桥村,QTX_HEDONG,河东市场监管所,1.0,3,3,"{""河东市场监管所"": 3}",1640381002024102337816185
峡口镇任桥村二队,QTX_HEDONG,河东市场监管所,1.0,3,3,"{""河东市场监管所"": 3}",51640300002024080500000021
市医院对面,QTX_XIAOBA,小坝市场监管所,1.0,3,3,"{""小坝市场监管所"": 3}",51640300002025100400000032
市场监督管理局,QTX_XIAOBA,小坝市场监管所,1.0,2,2,"{""小坝市场监管所"": 2}",51640300002025091800000038
广武村,QTX_HEXI,河西市场监管所,1.0,2,2,"{""河西市场监管所"": 2}",1640381002025121994473095
康乐温泉水世界,QTX_XIAOBA,小坝市场监管所,1.0,2,2,"{""小坝市场监管所"": 2}",51640300002025083000000009
康乐街,QTX_XIAOBA,小坝市场监管所,1.0,8,8,"{""小坝市场监管所"": 8}",51640300002024121800000036
康乐街35-2,QTX_XIAOBA,小坝市场监管所,1.0,2,2,"{""小坝市场监管所"": 2}",51640300002024101600000010
康乐街63号,QTX_XIAOBA,小坝市场监管所,1.0,3,3,"{""小坝市场监管所"": 3}",51640300002024110400000028
康乐街67号,QTX_XIAOBA,小坝市场监管所,1.0,2,2,"{""小坝市场监管所"": 2}",51640300002024081500000037
康乐街81号,QTX_XIAOBA,小坝市场监管所,1.0,3,3,"{""小坝市场监管所"": 3}",1640381002024101029923732
建民街,QTX_YUMIN,裕民市场监管所,1.0,2,2,"{""裕民市场监管所"": 2}",51640300002024102900000004
开运竹鞋店,QTX_YUMIN,裕民市场监管所,1.0,2,2,"{""裕民市场监管所"": 2}",51640300002025030400000053
张岗建材市场24号,QTX_YUMIN,裕民市场监管所,1.0,2,2,"{""裕民市场监管所"": 2}",1640381002024120292464090
惠源街28号,QTX_XIAOBA,小坝市场监管所,1.0,2,2,"{""小坝市场监管所"": 2}",51640300002024071200000002
意尔康商户,QTX_YUMIN,裕民市场监管所,1.0,5,5,"{""裕民市场监管所"": 5}",51640300002024121600000073
文化北街,QTX_YUMIN,裕民市场监管所,1.0,2,2,"{""裕民市场监管所"": 2}",51640300002025072000000010
文博商店,QTX_XIAOBA,小坝市场监管所,1.0,2,2,"{""小坝市场监管所"": 2}",51640300002024111800000010
新宁百货,QTX_YUMIN,裕民市场监管所,1.0,2,2,"{""裕民市场监管所"": 2}",51640300002025121200000033
新日电动车,QTX_YUMIN,裕民市场监管所,1.0,2,2,"{""裕民市场监管所"": 2}",51640300002025032400000047
新疆烤肉王,QTX_YUMIN,裕民市场监管所,1.0,3,3,"{""裕民市场监管所"": 3}",51640300002024091600000020
新百CCmall,QTX_XIAOBA,小坝市场监管所,1.0,4,4,"{""小坝市场监管所"": 4}",51640300002024111900000039
新百CC贸,QTX_XIAOBA,小坝市场监管所,1.0,2,2,"{""小坝市场监管所"": 2}",51640300002025090100000002
新百广场3F-A-4-5,QTX_XIAOBA,小坝市场监管所,1.0,2,2,"{""小坝市场监管所"": 2}",1640381002024121789680421
新百广场8号楼206、207号,QTX_XIAOBA,小坝市场监管所,1.0,2,2,"{""小坝市场监管所"": 2}",51640300002024082600000013
新百广场第一层1F-A-2425,QTX_XIAOBA,小坝市场监管所,1.0,3,3,"{""小坝市场监管所"": 3}",1640381002024112983347593
新百电器正科店,QTX_YUMIN,裕民市场监管所,1.0,2,2,"{""裕民市场监管所"": 2}",51640300002025091600000026
新百超市商户,QTX_DABA,大坝市场监管所,1.0,2,2,"{""大坝市场监管所"": 2}",51640300002024102900000042
晚市,QTX_XIAOBA,小坝市场监管所,1.0,2,2,"{""小坝市场监管所"": 2}",51640300002025052700000041
晨阳包子,QTX_YUMIN,裕民市场监管所,1.0,2,2,"{""裕民市场监管所"": 2}",51640300002025111900000005
杨老师商店”,QTX_DABA,大坝市场监管所,1.0,2,2,"{""大坝市场监管所"": 2}",51640300002025082500000010
正科新百电器,QTX_YUMIN,裕民市场监管所,1.0,2,2,"{""裕民市场监管所"": 2}",51640300002025092300000029
正科电器,QTX_YUMIN,裕民市场监管所,1.0,2,2,"{""裕民市场监管所"": 2}",51640300002024100200000024
步行街,QTX_YUMIN,裕民市场监管所,1.0,36,36,"{""裕民市场监管所"": 36}",51640300002024121600000010
步行街事件,QTX_YUMIN,裕民市场监管所,1.0,2,2,"{""裕民市场监管所"": 2}",51640300002025012700000022
汉坝东街178#,QTX_XIAOBA,小坝市场监管所,1.0,3,3,"{""小坝市场监管所"": 3}",51640300002024111200000005
汉坝东街9-3号,QTX_XIAOBA,小坝市场监管所,1.0,2,2,"{""小坝市场监管所"": 2}",51640300002024110400000009
海润超市,QTX_XIAOBA,小坝市场监管所,1.0,3,3,"{""小坝市场监管所"": 3}",51640300002025110300000006
海燕商店,QTX_XIAOBA,小坝市场监管所,1.0,3,3,"{""小坝市场监管所"": 3}",51640300002024120900000027
滨河大道,QTX_XIAOBA,小坝市场监管所,1.0,2,2,"{""小坝市场监管所"": 2}",51640300002025071400000023
火车站,QTX_HEXI,河西市场监管所,1.0,5,5,"{""河西市场监管所"": 5}",51640300002024071700000045
物流中心,QTX_XIAOBA,小坝市场监管所,1.0,3,3,"{""小坝市场监管所"": 3}",1640381002024111852420686
百姓修脚堂,QTX_YUMIN,裕民市场监管所,1.0,2,2,"{""裕民市场监管所"": 2}",51640300002024102900000004
百姓渔村商户,QTX_XIAOBA,小坝市场监管所,1.0,2,2,"{""小坝市场监管所"": 2}",51640300002025062500000009
瞿靖镇市场监管所,QTX_QUJING,瞿靖市场监管所,1.0,2,2,"{""瞿靖市场监管所"": 2}",51640300002025120200000024
瞿靖镇蒋顶村二组,QTX_DABA,大坝市场监管所,1.0,5,5,"{""大坝市场监管所"": 5}",1640381002024120895652207
福源堂大药房,QTX_XIAOBA,小坝市场监管所,1.0,2,2,"{""小坝市场监管所"": 2}",51640300002024121700000046
禹皇家私城,QTX_XIAOBA,小坝市场监管所,1.0,2,2,"{""小坝市场监管所"": 2}",51640300002024071800000025
禹皇装饰材料市场,QTX_XIAOBA,小坝市场监管所,1.0,2,2,"{""小坝市场监管所"": 2}",51640300002025012600000062
绿源电动车,QTX_XIAOBA,小坝市场监管所,1.0,2,2,"{""小坝市场监管所"": 2}",51640300002024123000000024
网套加工商户,QTX_YUMIN,裕民市场监管所,1.0,2,2,"{""裕民市场监管所"": 2}",51640300002025063000000035
羽诗芬商户,QTX_XIAOBA,小坝市场监管所,1.0,2,2,"{""小坝市场监管所"": 2}",51640300002025112200000041
老凤祥商户,QTX_YUMIN,裕民市场监管所,1.0,3,3,"{""裕民市场监管所"": 3}",51640300002024103100000048
老广场,QTX_YUMIN,裕民市场监管所,1.0,6,6,"{""裕民市场监管所"": 6}",51640300002024111300000034
艾山街,QTX_HEXI,河西市场监管所,1.0,3,3,"{""河西市场监管所"": 3}",51640300002024123000000025
英雄联盟音乐餐吧,QTX_XIAOBA,小坝市场监管所,1.0,2,2,"{""小坝市场监管所"": 2}",51640300002025100500000030
茂盛鲜果副食商店青铜峡市兴盛街叶盛中心卫生院东侧约50米,QTX_YESHENG,叶盛市场监管所,1.0,2,2,"{""叶盛市场监管所"": 2}",1640381002025102414142488
